#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA6354;I must study this grimoire;Je dois étudier ce grimoire ;Ich sollte dieses Zauberbuch studieren;;Debo estudiar este grimorio;;;;;;;;;x
EVTTOOLTIP6355;[Root.GetBestName] learns the forbidden secrets;[Root.Get_only_Le_Title][Root.GetBestName] apprend les secrets interdits;[Root.GetBestName] lernt die verbotenen Geheimnisse;;[Root.GetBestName] aprende los secretos prohibidos;;;;;;;;;x
EVTDESC6355;Intense study of the grimoire has gained me much knowledge. I have devised a ritual to awaken the most powerful of the Old Ones where he sleeps, dead but dreaming, in his watery tomb beneath the ocean. The cult has prepared the ritual attire and is gathering the necessary sacrifices.;J'ai acquis de précieuses connaissances grâce à l'étude approfondie de ce grimoire. J'ai élaboré un rituel destiné à réveiller le plus puissant des Grands Anciens là où il sommeille, mort mais plongé dans un rêve, dans son tombeau sous l'océan. Les adeptes du culte ont préparé les tenues pour le rituel et ils effectuent les sacrifices requis.;Durch intensive Studien des Zauberbuchs erlangte ich neues Wissen. Ich entwickelte ein Ritual, um den mächtigsten der Großen Alten aus seinem Schlummer, tot aber träumend, tief in seinem nassen Ozeangrab zu erwecken. Der Kult hat das Ritual vorbereitet und sammelt die notwendigen Opfergaben.;;He ganado mucho conocimiento con el intenso estudio del grimorio. He trazado un ritual para despertar al más poderoso de los Ancianos de donde duerme, muerto pero soñando, en su tumba acuosa bajo el océano. El culto ha preparado el atuendo para el ritual y están reuniendo los sacrificios necesarios.;;;;;;;;;x
EVTOPTA6355;Tonight, he will wake!;Ce soir, il se réveillera ! ;Heute Nacht wird er erwachen!;;Esta noche, ¡él despertará!;;;;;;;;;x
EVTTOOLTIP6356;[Root.GetBestName] puts on a black robe and wizened old hat;[Root.Get_only_Le_Title][Root.GetBestName] enfile une robe noire et se coiffe d'un chapeau rabougri;[Root.GetBestName] zieht eine schwarze Robe und einen schrumpeligen, alten Hut an;;[Root.GetBestName] se pone una toga negra y un viejo sombrero arrugado;;;;;;;;;x
EVTDESC6356;The cult has gathered for the ritual on the shore of a black and stormy sea. The chanting begins, Ph'nglui mglw'nafh..., and in the depths of the dark waters something stirs...;Les adeptes du culte sont rassemblés pour le rituel sur la rive d'une mer ténébreuse et orageuse. Le chant commence « Ph'nglui mglw'nafh... » et quelque chose s'agite dans les profondeurs des eaux sombres.;Der Kult hat sich für das Ritual an der Küste einer stürmischen, schwarzen See versammelt. Die Gesänge beginnen, Ph"nglui mglw"nafh ..., und in den Tiefen des schwarzen Gewässers rührt sich etwas ...;;El culto se ha reunido para el ritual a la orilla de un negro y tormentoso mar. Los cánticos empiezan, Ph'nglui mglw'nafh..., y en las profundidades de las oscuras aguas algo se mueve…;;;;;;;;;x
EVTOPTA6356;He comes! HE COMES!;Le voilà ! LE VOILÀ !;Er kommt! ER KOMMT!;;¡Él viene! ¡ÉL VIENE!;;;;;;;;;x
EVTOPTB6356;What have I done?! I must stop this!;Qu'ai-je fait ?! Je dois mettre fin à tout ça ! ;Was habe ich getan? Ich muss es aufhalten!;;¡¿Qué es lo que he hecho?! ¡Debo pararlo!;;;;;;;;;x
EVTTOOLTIP6357;[Root.GetBestName] commandeers a longboat;[Root.Get_only_Le_Title][Root.GetBestName] réquisitionne une chaloupe;[Root.GetBestName] kommandiert ein großes Beiboot;;[Root.GetBestName] incauta una galera;;;;;;;;;x
EVTDESC6357;I steered the longboat through the raging waters towards the monstrous creature. It stood as tall as a castle tower, with the body of a man and the head of a great tentacled beast. I knew that I had awoken it from where it slept beneath the waves and that it was here to end the age of man. There was only one thing I could do...;J'ai dirigé la chaloupe dans les eaux enragées vers la créature monstrueuse. Elle se tenait debout, aussi haute que la tour d'un château, avec un corps d'homme et une tête garnie de tentacules. Je savais que je l'avais sortie de son sommeil abyssal et qu'elle était venue pour mettre fin au règne de l'homme. Il ne me restait qu'une chose à faire...;Ich steuerte das große Beiboot durch die tosenden Gewässer in Richtung der monströsen Kreatur. Sie war so groß wie ein Schlossturm, mit dem Körper eines Mannes und dem Kopf eines gigantischen Biests mit Tentakeln. Ich wusste, dass ich es aus seinem Schlummer erweckt hatte und dass es das Ende des Menschenzeitalters bringen würde. Ich konnte nur noch eines tun...;;Dirigí la galera a través de las aguas embravecidas hacia la criatura monstruosa. Se alzó alta como la torre de un castillo, con el cuerpo de un hombre y la cabeza de una gran bestia con tentáculos. Supe que la había despertado de donde dormía bajo las olas, y que estaba aquí para acabar con la edad del hombre. Sólo había una cosa que yo pudiera hacer…;;;;;;;;;x
EVTOPTA6357;Ramming speed!;Vitesse maximale !;Rammgeschwindigkeit!;;¡Velocidad de ariete!;;;;;;;;;x
EVTTOOLTIP6358;A fateful collision...;Une collision fatidique...;Eine schicksalshafte Kollision...;;Una fatídica colisión…;;;;;;;;;x
EVTDESC6358;I awoke in my own bed weak and sweating. The servants told me that they had found me on the shore, naked and half-drowned. I asked them about the creature and the ship but they just looked at me with worried eyes and shook their heads. It seems I am the only living witness to these events.;Je me suis réveillé dans mon lit, faible et tout en sueur. Les serviteurs m'ont dit m'avoir trouvé sur le rivage, nu et à demi noyé. Je leur ai posé des questions au sujet de la créature et du vaisseau, mais ils m'ont fixé avec des yeux inquiets puis ils ont secoué la tête. Je serais donc le seul et dernier témoin vivant de ces événements.;Ich erwachte schwach und schweißgebadet in meinem eigenen Bett. Die Diener erzählten, dass sie mich nackt und halbertrunken am Strand gefunden hatten. Ich berichtete ihnen von der Kreatur und dem Schiff, doch sie schauten mich nur besorgt und kopfschüttelnd an. Scheinbar bin ich der einzig lebende Zeuge dieser Ereignisse.;;Me desperté en mi cama débil y sudando. Los sirvientes me dijeron que me habían encontrado en la orilla, desnudo y medio ahogado. Les pregunté por la criatura y el barco pero simplemente me miraron con ojos preocupados y sacudieron la cabeza. Parece ser que soy el único testigo viviente de esos acontecimientos.;;;;;;;;;x
EVTOPTA6358;I must put them to print;Je dois faire imprimer cela;Ich muss sie niederschreiben;;Debo ponerlos a imprimir;;;;;;;;;x
EVTOPTB6358;Fools! I saved you all!;Imbéciles ! Je vous ai tous sauvés !;Narren! Ich habe euch alle gerettet!;;¡Necios! ¡Os he salvado a todos!;;;;;;;;;x
LOWER_RELATIVE_POWER;Army is less than §Y$VAL$%§W of §Y$OTHER$§W.;L'armée est §Y$VAL$%§W plus petite que §Y$OTHER$§W.;Armee geringer als §Y$VAL$%§W von §Y$OTHER$§W.;;El ejército es menos que §Y$VAL$%§W de §Y$OTHER$§W.;;;;;;;;;x
HIGHER_RELATIVE_POWER;Army is at least §Y$VAL$%§W of §Y$OTHER$§W.;L'armée est au moins §Y$VAL$%§W de §Y$OTHER$§W.;Armee mindestens §Y$VAL$%§W von §Y$OTHER$§W.;;El ejército es al menos §Y$VAL$%§W de §Y$OTHER$§W.;;;;;;;;;x
TRIBAL_TITLE_DESTROYED_SETUP;Tribal Title Abandoned;Titre tribal abandonné;Stammes-Titel aufgegeben;;Título Tribal Abandonado;;;;;;;;;x
TRIBAL_TITLE_DESTROYED_LOG;The formal title '§Y$TITLE$§!' has been abandoned.;Le titre officiel '§Y$TITLE$§!' a été abandonné.;Der formale Titel "§Y$TITLE$§!" wurde aufgegeben.;;El título formal '§Y$TITLE$§!' ha sido abandonado.;;;;;;;;;x
TRIBAL_TITLE_DESTROYED_LETTER;There is no reason to formally use the title '§Y$TITLE$§!' anymore - it sounds primitive and shall henceforth be abandoned.;Il n'y a plus aucune raison d'utiliser le titre '§Y$TITLE$§!' qui paraît primitif. On devra désormais l'abandonner. ;Es gibt keinen Grund, den Titel "§Y$TITLE$§!" weiterhin formell zu verwenden – er klingt primitiv und soll in Zukunft nicht verwendet werden.;;Ya no hay razón para utilizar el título '§Y$TITLE$§!' formalmente suena primitivo y debería ser abandonado a partir de ahora.;;;;;;;;;x
killed_an_old_one;Godslayer;Déicide;Gottesvernichter;;Matadioses;;;;;;;;;x
alert_can_reform_religion_name;§YReligion can be Reformed§!;§YLa religion peut être réformée§!;§YReligion kann reformiert werden§!;;§YLa Religión puede ser Reformada§!;;;;;;;;;x
alert_can_reform_religion_instant;§YReligion can be Reformed§!;§YLa religion peut être réformée§!;§YReligion kann reformiert werden§!;;§YLa Religión puede ser Reformada§!;;;;;;;;;x
alert_can_reform_religion_delayed;The §Y$RELIGION$§! faith can be reformed into an organized religion;La foi §Y$RELIGION$§! peut être réformée en une religion organisée;Der §Y$RELIGION$§!e-Glauben kann in eine organisierte Religion reformiert werden;;La fe §Y$RELIGION$§! puede ser reformada a una religión organizada;;;;;;;;;x
HOLYSITE_CONTROL_OURS;The Holy Site of §Y$SITENAME$§! is completely under the control of §Y$RELIGION$§!;Le lieu saint de §Y$SITENAME$§! est entièrement sous contrôle de §Y$RELIGION$§!;Die Heilige Stätte §Y$SITENAME$§! wird vom §Y$RELIGION$en§!-Glauben vollständig kontrolliert;;El Sitio Sagrado de §Y$SITENAME$§! está completamente bajo el control de §Y$RELIGION$§!;;;;;;;;;x
HOLYSITE_CONTROL_PARTIAL;The Holy Site of §Y$SITENAME$§! is held by a member of §Y$RELIGION$§!, but is a vassal of another religion;Le lieu saint de §Y$SITENAME$§! est tenu par un fidèle de §Y$RELIGION$§!, mais celui-ci est vassal d'un souverain d'une autre religion;Die Heilige Stätte §Y$SITENAME$§! wird durch ein Mitglied des §Y$RELIGION$en§! Glaubens gehalten, welches aber Vasall einer anderen Religion ist;;El Sitio Sagrado de §Y$SITENAME$§! está tomado por un miembro de §Y$RELIGION$§!, pero es un vasallo de otra religión;;;;;;;;;x
HOLYSITE_CONTROL_NOT;The Holy Site of §Y$SITENAME$§! is not held by a member of §Y$RELIGION$§!;Le lieu saint de §Y$SITENAME$§! n'est pas occupé par un fidèle de §Y$RELIGION$§!;Die Heilige Stätte §Y$SITENAME$§! wird nicht durch ein Mitglied des §Y$RELIGION$en§! Glaubens gehalten;;El Sitio Sagrado de §Y$SITENAME$§! no está tomado por un miembro de §Y$RELIGION$§!;;;;;;;;;x
HOLYSITE_LOCATION;The Holy Site of §Y$SITENAME$§! is located in the county of §Y$COUNTY$§!;Le lieu saint de §Y$SITENAME$§! se situe dans le comté de §Y$COUNTY$§!;Die Heilige Stätte von §Y$SITENAME$§! befindet sich in der Grafschaft von §Y$COUNTY$§!;;El Sitio Sagrado de §Y$SITENAME$§! se encuentra en el condado de §Y$COUNTY$§!;;;;;;;;;x
INTERACTION_REQUIRES_NO_LOOTING_HOSTILITY;We cannot declare war on §Y[Recipient.GetTitledFirstName]§! while we are raiding them;Nous ne pouvons pas déclarer la guerre [Recipient.Get_au_TitledFirstNameJ] pendant que nous les attaquons;Wir können §Y[Recipient.GetTitledFirstName]§! nicht den Krieg erklären, während wir sie überfallen;;No podemos declarar la guerra a §Y[Recipient.GetTitledFirstName]§! mientras les estamos atacando;;;;;;;;;x
FROM_ATTRIBUTES;From Attributes: §G+$AMOUNT$§!;Grâce aux compétences : §G+$AMOUNT$§!;Durch Fähigkeiten: §G+$AMOUNT$§!;;De atributos: §G+$AMOUNT$§!;;;;;;;;;x
HOLY_SITES_LESS;Does NOT control at least §Y$VAL$§W holy sites\n;Ne contrôle pas au moins §Y$VAL$§W lieux saints\n;Kontrolliert NICHT mindestens §Y$VAL$§W heilige Stätten\n;;NO controla al menos §Y$VAL$§W sitios sagrados\n;;;;;;;;;x
HOLY_SITES_LEAST;Controls at least §Y$VAL$§W holy sites\n;Contrôle au moins §Y$VAL$§W lieux saints\n;Kontrolliert mindestens §Y$VAL$§W heilige Stätten\n;;Controla al menos §Y$VAL$§W sitios sagrados\n;;;;;;;;;x
MAJOR_RIVER_SHORT;Crossing of the Major River §Y$RIVER$§! to §Y$TO$§!;Traversée du fleuve majeur §Y$RIVER$§! vers §Y$TO$§!;Überquerung des Hauptflusses §Y$RIVER$§! nach §Y$TO$§!;;Atravesando el Gran Río §Y$RIVER$§! a §Y$TO$§!;;;;;;;;;x
MAJOR_RIVER_DESC;When attacking over a Major River, the attacking army will get a significant combat penalty;Une armée qui attaque depuis un fleuve majeur reçoit d'importantes pénalités au combat.;Wenn der Angriff über einen großen Fluss erfolgt, so erleidet die angreifende Armee einen signifikanten Kampf-Malus;;Cuando se ataca cruzando un Gran Río, el ejército atacante recibirá una sanción significativa de combate;;;;;;;;;x
RETCAP_FROM_REALM;From Realm: §G$REALM$§!\n   Holdings: §Y$HOLDINGS$§!\n   Cap per Holding: §Y$PERHOLDING$§!\n;Grâce au domaine et aux vassaux : §G$REALM$§!\n  Propriétés : §Y$HOLDINGS$§!\n  Par propriété : §Y$PERHOLDING$§!\n;Durch Reich: §G$REALM$§!\n  Durch Besitztümer: §Y$HOLDINGS$§!\n   Limit pro Besitztum: §Y$PERHOLDING$§!\n;;De Reino: §G$REALM$§!\n   Propiedades: §Y$HOLDINGS$§!\n   Número máximo de personas por Propiedad: §Y$PERHOLDING$§!\n;;;;;;;;;x
RETCAP_FROM_BUILDINGS;From Buildings: §G$AMOUNT$§!\n;Grâce aux bâtiments : §G$AMOUNT$§!\n;Durch Gebäude: §G$AMOUNT$§!\n;;De Edificios: §G$AMOUNT$§!\n;;;;;;;;;x
RETCAP_FROM_TECH;From Technology: §G+$PERCENT$%§!\n;Grâce à la technologie : §G+$PERCENT$%§!\n;Durch Technologie: §G+$PERCENT$%§!\n;;De Tecnología: §G+$PERCENT$%§!\n;;;;;;;;;x
RETCAP_MINIMUM_RETINUE;Minimum Retinue: §Y$MIN$§!\n;Escorte minimale : §Y$MIN$§!\n;Mindestgefolge: §Y$MIN$§!\n;;Séquito mínimo: §Y$MIN$§!\n;;;;;;;;;x
RETCAP_FROM_RELIGION;From Religion: $AMOUNT$\n;Grâce à la religion : $AMOUNT$\n;Durch Religion: $AMOUNT$\n;;De Religión: $AMOUNT$\n;;;;;;;;;x
RETCAP_TOTAL;\nTotal: §Y$TOTAL$§!;\nTotal : §Y$TOTAL$§!;\nGesamt: §Y$TOTAL$§!;;\nTotal: §Y$TOTAL$§!;;;;;;;;;x
RAISE_COUNTY_LEVIES;Raise County Levies;Lever les troupes du comté;Graftschafts-Aufgebote ausheben;;Aumentar Reclutamientos en el Condado;;;;;;;;;x
RAISE_COUNTY_FLEETS;Raise County Fleets;Lever les flottes du comté;Grafschafts-Flotten zusammenziehen;;Aumentar Flota del Condado;;;;;;;;;x
TECH_DEM_INC_EMPERORS;§G+$AMOUNT$§! Demesne size for Emperors;Taille du domaine des empereurs §G+$AMOUNT$§!;§G+$AMOUNT$§! Herrschaftsgebietsgröße für Kaiser;;§G+$AMOUNT$§! Tamaño de dominio para Emperadores;;;;;;;;;x
TECH_DEM_INC_KINGS;§G+$AMOUNT$§! Demesne size for Kings;Taille du domaine des rois §G+$AMOUNT$§!;§G+$AMOUNT$§! Herrschaftsgebietsgröße für Könige;;§G+$AMOUNT$§! Tamaño de dominio para Reyes;;;;;;;;;x
TECH_DEM_INC_DUKES;§G+$AMOUNT$§! Demesne size for Dukes;Taille du domaine des ducs §G+$AMOUNT$§!;§G+$AMOUNT$§! Herrschaftsgebietsgröße für Herzöge;;§G+$AMOUNT$§! Tamaño de dominio para Duques;;;;;;;;;x
TECH_DEM_INC_COUNTS;§G+$AMOUNT$§! Demesne size for Counts;Taille du domaine des comtes §G+$AMOUNT$§!;§G+$AMOUNT$§! Herrschaftsgebietsgröße für Grafen;;§G+$AMOUNT$§! Tamaño de dominio para Condes;;;;;;;;;x
TECH_DEM_INC_BARONS;§G+$AMOUNT$§! Demesne size for Barons;Taille du domaine des barons §G+$AMOUNT$§!;§G+$AMOUNT$§! Herrschaftsgebietsgröße für Barone;;§G+$AMOUNT$§! Tamaño de dominio para Barones;;;;;;;;;x
HINT_TECH_VIEW_TEXT_2;All Rulers above the rank of Count accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.;Tous les seigneurs au-delà du titre de comte accumulent des points de technologie dans chacun des trois groupes en fonction de leurs compétences. Ces points servent à améliorer le niveau technologique de la capitale. La technologie peut aussi s'étendre aux provinces voisines, d'une province à l'autre au sein d'un même domaine, ou dans les zones marchandes.;Herrscher ab dem Rang Graf sammeln Technologiepunkte in allen drei Gruppen, basierend auf ihren Werten. Diese Punkte können zur Erhöhung der Technologiestufe in ihrer Hauptstadt verwendet werden. Die Technologie kann sich auf benachbarte Provinzen, Herrschaftsprovinzen oder in Handelszonen ausbreiten.;;Todo gobernante por encima del rango conde acumula Puntos de tecnología en cada uno de los tres grupos, según sus atributos.\nEstos se pueden gastar en aumentar el nivel tecnológico de su capital.\nLa tecnología también puede extenderse a provincias vecinas, entre las de heredad o en zonas comerciales.;;;;;;;;;x
UNDER_PLAYER;This Holy Site is under your control;Vous avez le contrôle de ce lieu saint;Diese Heilige Stätte befindet sich unter Eurer Kontrolle;;Este Sitio Sagrado está bajo tu control;;;;;;;;;x
RELIGION_UNIT_MODIFIER;Modifier to all Units and Holdings controlled by this religion:;Modificateur appliqué à toutes les unités et propriétés contrôlées par cette religion : ;Modifikator für alle Einheiten und Besitztümer unter der Kontrolle dieser Religion:;;Modificador a todas las Unidades y Provincias controlado por esta religión:;;;;;;;;;x
RELIGION_UNIT_HOME_MODIFIER;Additional Modifier in counties of this religion:;Modificateur additionnel dans les comtés de cette religion :;Zusätzlicher Modifikator in Provinzen dieser Religion:;;Modificador adicional en provincias de esta religión:;;;;;;;;;x
PROVINCE_HAS_HOLYSITE;This County contains §Y$HOLYSITE$§!, a Holy Site of §Y$RELIGION$§!;Ce comté inclut §Y$HOLYSITE$§!, un lieu saint de §Y$RELIGION$§!;In dieser Grafschaft befindet sich §Y$HOLYSITE$§!. §Y$RELIGION$§! sieht diesen Ort als heilig an.;;Este Condado contiene §Y$HOLYSITE$§!, un Sitio Sagrado de §Y$RELIGION$§!;;;;;;;;;x
recently_conquered;Recently Conquered;Récemment conquis;Kürzlich erobert;;Recientemente Conquistado;;;;;;;;;x
new_administration;New Administration;Nouveau gouvernement;Neue Verwaltung;;Nueva Administración;;;;;;;;;x
won_crusade;Victorious in Crusade;Croisade victorieuse;Siegreich im Kreuzzug;;Victorioso en Cruzada;;;;;;;;;x
lost_crusade;Defeated in Crusade;Croisade perdue;Besiegt im Kreuzzug;;Derrotado en Cruzada;;;;;;;;;x
won_holy_war;Won Holy Wars;Guerres saintes gagnées;Gewonnene heilige Kriege;;Guerras Santas Ganadas;;;;;;;;;x
lost_holy_war;Lost Holy Wars;Guerres saintes perdues;Verlorene heilige Kriege;;Guerras Santas Perdidas;;;;;;;;;x
paragon_of_virtue;Paragons of Virtue;Parangon de vertu;Ausbünde an Tugend;;Modelos de Virtud;;;;;;;;;x
ruler_bowed_to_pope;Papal Demands Accepted;Exigences papales acceptées;Päpstliche Forderungen angenommen;;Demandas Papales Aceptadas;;;;;;;;;x
ruler_defied_pope;Papal Demands Refused;Exigences papales refusées;Päpstliche Forderungen abgelehnt;;Demandas Papales Rechazadas;;;;;;;;;x
ruler_bowed_to_patriarch;Patriarchal Demands Accepted;Exigences patriarcales acceptées;Patriarchalische Forderungen angenommen;;Demandas Patriarcales Aceptadas;;;;;;;;;x
ruler_defied_patriarch;Patriarchal Demands Refused;Exigences patriarcales refusées;Patriarchalische Forderungen abgelehnt;;Demandas Patriarcales Rechazadas;;;;;;;;;x
religious_order_formed;Religious Orders Formed;Ordres religieux formés;Religiöser Orden gegründet;;Órdenes Religiosas Formadas;;;;;;;;;x
head_of_religion_neglect;Neglectful Head of Religion;Chef religieux négligent;Pflichtvergessenes Religionsoberhaupt;;Jefe Supremo de Religión Negligente;;;;;;;;;x
convert_to_attacker_religion;Convert to Attacker's Religion;Adopter la religion des attaquants;Zur Religion des Angreifers konvertieren;;Convertir a la Religión del Atacante;;;;;;;;;x
